n         = 100
algorithm = taylored
no. ticks = 16
ticks/sec = 1000000
-----------------------------------------------------
        x        |     y_exact     |      y_num
 8.415841584e-01 | 1.582327163e-01 | 1.581035172e-01
 8.514851485e-01 | 1.483530400e-01 | 1.482319078e-01
 8.613861386e-01 | 1.384713968e-01 | 1.383583331e-01
 8.712871287e-01 | 1.285879723e-01 | 1.284829785e-01
 8.811881188e-01 | 1.187029343e-01 | 1.186060118e-01
 8.910891089e-01 | 1.088164349e-01 | 1.087275849e-01
 9.009900990e-01 | 9.892861192e-02 | 9.884783541e-02
 9.108910891e-01 | 8.903959010e-02 | 8.896688810e-02
 9.207920792e-01 | 7.914948244e-02 | 7.908485585e-02
 9.306930693e-01 | 6.925839130e-02 | 6.920184092e-02
 9.405940594e-01 | 5.936640941e-02 | 5.931793595e-02
 9.504950495e-01 | 4.947362071e-02 | 4.943322485e-02
 9.603960396e-01 | 3.958010127e-02 | 3.954778360e-02
 9.702970297e-01 | 2.968591998e-02 | 2.966168104e-02
 9.801980198e-01 | 1.979113922e-02 | 1.977497949e-02
 9.900990099e-01 | 9.895815496e-03 | 9.887735433e-03
