Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 100
  N_max   = 100000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 3310
  Max. Abs. off-diag.  = 0.00999786
  time spent           = 0.595701 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
+5.976861e-03 | +2.611019e-02
-6.104900e-03 | -2.179720e-02
+1.950445e-03 | -1.746312e-02
+3.739452e-03 | +1.311214e-02
-6.098381e-03 | +8.748481e-03
+4.365149e-03 | -4.376357e-03

eigenvalue = -3.988595e+00:
    Jacobi    |    Armadillo
+8.298963e-03 | +8.748481e-03
-9.435020e-03 | -1.746312e-02
+8.377317e-03 | +2.611019e-02
-2.569457e-03 | +3.465625e-02
-2.933430e-03 | +4.306823e-02
+3.802731e-03 | -5.131358e-02
-7.604268e-03 | -5.936042e-02
+5.149525e-03 | +6.717760e-02
-5.764101e-05 | +7.473488e-02
-1.490362e-03 | -8.200303e-02
+2.412805e-04 | -8.895393e-02
-2.737655e-03 | +9.556068e-02
+3.195978e-03 | +1.017977e-01
+1.882125e-04 | -1.076409e-01
+6.721941e-04 | -1.130677e-01
-4.256870e-04 | +1.180570e-01
+2.502707e-04 | -1.225896e-01
+1.102143e-03 | -1.266479e-01
-3.588217e-03 | +1.302163e-01
-8.417371e-04 | +1.332808e-01
-6.073629e-04 | +1.358297e-01
+1.723013e-03 | -1.378532e-01
+5.075523e-04 | +1.393433e-01
-8.063350e-04 | +1.402943e-01
+2.777123e-03 | +1.407025e-01
-1.284702e-03 | -1.405664e-01
+6.297251e-04 | -1.398864e-01
-4.551083e-03 | +1.386653e-01
+2.949855e-03 | +1.369077e-01
+1.557640e-03 | -1.346204e-01
-1.061095e-02 | -1.318123e-01
+1.427980e-02 | +1.284943e-01
-1.282042e-02 | +1.246791e-01
+1.657750e-02 | -1.203816e-01
-1.942509e-02 | -1.156183e-01
+2.348094e-02 | +1.104077e-01
-2.829676e-02 | -1.047700e-01
+3.074282e-02 | -9.872696e-02
-3.932817e-02 | +9.230195e-02
+4.915150e-02 | +8.551985e-02
-7.184084e-02 | +7.840688e-02
+9.333269e-02 | -7.099058e-02
-1.231786e-01 | -6.329963e-02
+1.530841e-01 | +5.536378e-02
-1.796489e-01 | -4.721374e-02
+2.027539e-01 | -3.888104e-02
-2.226092e-01 | +3.039792e-02
+2.351362e-01 | +2.179720e-02
-2.429526e-01 | +1.311214e-02
+2.522187e-01 | -4.376357e-03
-2.582542e-01 | -4.376357e-03
+2.584161e-01 | -1.311214e-02
-2.564079e-01 | -2.179720e-02
+2.468303e-01 | +3.039792e-02
-2.342998e-01 | +3.888104e-02
+2.265177e-01 | -4.721374e-02
-2.188832e-01 | -5.536378e-02
+2.093220e-01 | +6.329963e-02
-1.990996e-01 | +7.099058e-02
+1.871044e-01 | -7.840688e-02
-1.750277e-01 | +8.551985e-02
+1.627075e-01 | +9.230195e-02
-1.428801e-01 | -9.872696e-02
+1.154170e-01 | -1.047700e-01
-8.434936e-02 | -1.104077e-01
+5.544983e-02 | +1.156183e-01
-2.882110e-02 | -1.203816e-01
+3.749851e-03 | -1.246791e-01
+7.614370e-03 | -1.284943e-01
-1.210324e-02 | +1.318123e-01
+2.149755e-02 | -1.346204e-01
-3.088463e-02 | -1.369077e-01
+2.942994e-02 | -1.386653e-01
-2.248163e-02 | +1.398864e-01
+1.906475e-02 | +1.405664e-01
-9.807075e-03 | -1.407025e-01
+3.315033e-03 | -1.402943e-01
+7.154944e-05 | +1.393433e-01
-5.498100e-03 | +1.378532e-01
+7.677257e-03 | -1.358297e-01
-1.136988e-02 | -1.332808e-01
+1.356962e-02 | +1.302163e-01
-1.282473e-02 | +1.266479e-01
+8.170580e-03 | -1.225896e-01
+2.434508e-05 | -1.180570e-01
-1.470434e-04 | +1.130677e-01
-7.543489e-04 | +1.076409e-01
+4.251454e-03 | -1.017977e-01
-1.458623e-03 | +9.556068e-02
+1.869907e-03 | +8.895393e-02
-2.431281e-03 | -8.200303e-02
+1.615782e-03 | -7.473488e-02
+4.010875e-03 | -6.717760e-02
-3.917673e-03 | +5.936042e-02
+4.181463e-03 | +5.131358e-02
-5.860661e-03 | -4.306823e-02
+3.840499e-03 | -3.465625e-02
-1.439240e-03 | +2.611019e-02
-1.886823e-03 | +1.746312e-02
-5.270638e-04 | -8.748481e-03

eigenvalue = -3.983978e+00:
    Jacobi    |    Armadillo
+5.869767e-03 | -1.311214e-02
-4.270138e-03 | +2.611019e-02
+3.633075e-03 | -3.888104e-02
-2.033988e-03 | -5.131358e-02
+1.223358e-03 | -6.329963e-02
-6.078380e-04 | +7.473488e-02
-9.980601e-05 | +8.551985e-02
-1.419111e-05 | -9.556068e-02
-2.386173e-03 | -1.047700e-01
+2.687573e-03 | +1.130677e-01
-3.412022e-03 | +1.203816e-01
+2.924536e-03 | -1.266479e-01
+2.759907e-03 | -1.318123e-01
-5.632078e-03 | +1.358297e-01
+5.784367e-03 | +1.386653e-01
-3.670512e-03 | -1.402943e-01
+2.294518e-04 | +1.407025e-01
+3.262964e-03 | +1.398864e-01
-5.192389e-03 | -1.378532e-01
+1.723748e-03 | -1.346204e-01
-1.977363e-03 | -1.302163e-01
+2.039493e-03 | +1.246791e-01
+2.835641e-03 | -1.180570e-01
-4.898765e-03 | -1.104077e-01
+1.239926e-03 | -1.017977e-01
+5.102874e-04 | +9.230195e-02
+8.418487e-04 | +8.200303e-02
+7.537467e-04 | -7.099058e-02
-3.076212e-03 | -5.936042e-02
+3.472565e-03 | +4.721374e-02
-9.912201e-04 | +3.465625e-02
+4.456111e-03 | -2.179720e-02
-4.695219e-03 | -8.748481e-03
+2.359683e-03 | -4.376357e-03
-1.681619e-03 | -1.746312e-02
-2.534094e-03 | +3.039792e-02
+1.686899e-03 | -4.306823e-02
-1.460845e-03 | -5.536378e-02
-1.399912e-03 | +6.717760e-02
+6.554570e-03 | +7.840688e-02
-6.957155e-03 | +8.895393e-02
+4.839025e-03 | -9.872696e-02
+2.683007e-03 | -1.076409e-01
-3.336381e-03 | +1.156183e-01
+3.237033e-03 | -1.225896e-01
-4.082888e-03 | -1.284943e-01
-7.895969e-04 | +1.332808e-01
